artistname,streams
"Post Malone",2132335812
"Dua Lipa, DaBaby",1802514301
"J. Cole",1791000570
"Bad Bunny, Jhay Cortez",1763363713
"Bruno Mars",1661187319
"The Weeknd",1647990401
"Lewis Capaldi",1608045237
"The Police",1593270737
"The Weeknd",1591223784
"SZA, Doja Cat",1575467011
"Bruno Mars",1481349984
"The Weeknd",1449799467
"Chencho Corleone, Bad Bunny",1440757818
"Harry Styles",1439191367
"J Balvin, Bad Bunny",1435127549
"Lord Huron",1410088830
Adele,1406111294
"Alec Benjamin",1374581173
Mï¿½ï¿½ne,1367810478
"Bizarrap, Quevedo",1356565093
"Taylor Swift",1355959075
"Bad Bunny, Tainy",1304313953
"Conan Gray",1301799902
"Arctic Monkeys",1297026226
"The Goo Goo Dolls",1284942608
"Don Omar, Lucenzo",1279434863
"Bad Bunny",1264310836
"Bad Bunny",1260594497
"Olivia Rodrigo",1256880657
"Ariana Grande",1252563873
"Sam Smith, Kim Petras",1230675890
"Imagine Dragons, League of Legends, JID, Arcane",1223481149
"Imagine Dragons, League of Legends, Arcane",1223481149
"Ariana Grande, The Weeknd",1221813483
"Arctic Monkeys",1217120710
"Manuel Turizo",1214083358
XXXTENTACION,1200808494
"GODZZ__-, Zakaria",1180896317
"Tate McRae",1180094974
"Rauw Alejandro",1168642797
SZA,1163093654
"Creedence Clearwater Revival",1145727611
BTS,1143647827
"Masked Wolf",1138474110
"Bomba Estï¿½ï¿½reo, Bad B",1133865788
"The Neighbourhood",1127468248
Joji,1122364376
"Ruth B.",1116995633
"Bruno Mars, Anderson .Paak, Silk Sonic",1115880852
"Bebe Rexha, David Guetta",1109433169
"Kendrick Lamar, Jay Rock",1093605526
OneRepublic,1085685420
"Halsey, BTS",1065580332
"Bruno Mars",1062956628
Tiï¿½ï¿,1062345656
"Coldplay, BTS",1061966512
"Bad Bunny",1047480053
"Tyler, The Creator, Kali Uchis",1047101291
"Kate Bush",1024858327
"Harry Styles",1023187129
XXXTENTACION,1022258230
"Taylor Swift",999748277
Joji,988515741
"Lost Frequencies, Calum Scott",972509632
"The Walters",972164968
Giveon,951637566
Miguel,950906471
Willow,924193303
"Lil Nas X",920797189
"Steve Lacy",920045682
"Bad Bunny",909001996
"Rï¿½ï¿½ma, Selena G",899183384
"Jaymes Young",888046992
"Karol G",885093467
"Taylor Swift",882831184
"Elley Duhï¿",872137015
"Doja Cat",865640097
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",863756573
Mï¿½ï¿½ne,851070493
"Olivia Rodrigo",850608354
"The Weeknd, 21 Savage, Metro Boomin",843957510
"Cigarettes After Sex",841749534
Aerosmith,838586769
"Imagine Dragons",838079900
SZA,826623384
"Surf Curse",824420218
"Steve Lacy",822633917
"Frank Ocean",822239726
"Taylor Swift",812019557
"Chencho Corleone, Rauw Alejandro",809306935
"Michael Bublï¿",807561936
"Harry Styles",807015863
"Frank Ocean",806397070
"Taylor Swift",800840817
"Polo G",797402345
"Dua Lipa",797196073
"Taylor Swift",786181836
"Olivia Rodrigo",783706581
ROSALï¿½,782369383
"Billie Eilish",777765388
"Julieta Venegas, Bad Bunny, Tainy",775542072
"Daddy Yankee, Bad Bunny",759208783
"Camila Cabello, Ed Sheeran",756907987
JVKE,751134527
"Harry Styles",743693613
"Stephen Sanchez",726434358
"Rosa Linn",726307468
"Eslabon Armado, Peso Pluma",725980112
Lizzo,723894473
Lizzo,723894473
"girl in red",723043854
"Shakira, Bizarrap",721975598
"J Balvin, Maria Becerra",720825549
"Charlie Puth, BTS, Jung Kook",720434240
"Karol G, Becky G",716591492
"Rosa Linn",711366595
"The Weeknd, Gesaffelstein",705469769
Metallica,704171068
